Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
44, P-SLICE,   44, 34.47,       5984, 0,0.00,28.000,40.264, 48.528, 48.786, 42.362, 0.940457, 12.252,0, 43 42 41 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.39%, 0.92%,  0.26%,  0.52%,  1.31%, 12.07%,  0.00%,  0.66%,  0.26%,  0.52%, 52.36%, 22.18%,  2.36%,  5.91%, 25055.80, 1815.38, 6290.78, 25634.53 , 18, 253, 117.63, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.75%,0.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.56%, 97.21%,0.00%, 1.12%, 1.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 26.67%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 2.76%, 33.79%,0.00%, 24.14%, 39.31%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 19.0, 0.0, 75.0, 0.0, 24.0, 5.222, 129
45, P-SLICE,   45, 34.31,       5224, 0,0.00,28.000,40.251, 48.561, 48.785, 42.357, 0.940346, 12.244,0, 44 43 42 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.14%, 1.26%,  0.84%,  0.14%,  1.81%,  7.81%,  0.00%,  0.00%,  0.00%,  0.00%, 55.23%, 24.55%,  2.93%,  5.30%, 25138.26, 1808.53, 6297.05, 25745.43 , 18, 253, 117.64, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 98.51%,0.00%, 1.24%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.44%,0.00%, 0.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 61.76%,0.00%, 14.71%, 23.53%, 0.00%, 0.00%, 0.00%, 0.00%, 1.05%, 40.00%,0.00%, 24.21%, 34.74%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 15.0, 0.0, 70.0, 0.0, 21.0, 5.558, 110
46, P-SLICE,   46, 36.00,        744, 0,0.00,28.000,40.248, 48.561, 48.785, 42.354, 0.940334, 12.243,0, 45 44 43 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.53%,  0.18%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 72.52%, 26.77%,  0.00%,  0.00%, 25135.08, 1808.19, 6308.01, 25135.08 , 18, 253, 117.64, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.27%,0.00%, 0.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.34%,0.00%, 0.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.0, 0.0, 14.0, 0.0, 77.0, 0.0, 20.0, 8.316, 126
47, P-SLICE,   47, 34.23,       5744, 0,0.00,28.000,40.256, 48.553, 48.788, 42.360, 0.940409, 12.248,0, 46 45 44 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.26%, 0.13%,  0.00%,  0.40%, 1.19%,  0.40%,  0.53%,  2.37%,  9.75%,  0.00%,  0.00%,  0.26%,  0.40%, 52.31%, 23.32%,  2.64%,  6.06%, 25115.51, 1809.72, 6293.42, 25572.08 , 18, 253, 117.63, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.79%,0.00%, 0.00%, 2.21%, 0.00%, 0.00%, 0.00%, 0.00%, 4.76%, 52.38%,0.00%, 23.81%, 19.05%, 0.00%, 0.00%, 0.00%, 0.00%, 3.15%, 38.58%,0.00%, 29.13%, 29.13%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 21.0, 0.0, 77.0, 0.0, 27.0, 4.907, 183
48, P-SLICE,   48, 34.47,       5608, 0,0.00,28.000,40.248, 48.560, 48.801, 42.356, 0.940346, 12.244,0, 47 46 45 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.27%,  0.00%,  0.40%, 0.93%,  0.27%,  0.40%,  2.13%,  9.07%,  0.00%,  0.13%,  0.13%,  0.80%, 52.80%, 24.93%,  2.67%,  5.07%, 25157.22, 1805.55, 6295.94, 25760.10 , 18, 253, 117.63, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.50%,0.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.43%,0.00%, 1.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.76%,0.00%, 29.73%, 13.51%, 0.00%, 0.00%, 0.00%, 0.00%, 4.27%, 37.61%,0.00%, 25.64%, 32.48%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 16.0, 0.0, 70.0, 0.0, 21.0, 5.627, 95
49, P-SLICE,   49, 33.95,       6136, 0,0.00,28.000,40.261, 48.549, 48.765, 42.360, 0.940523, 12.256,0, 48 47 46 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.00%,  0.00%,  0.67%, 2.00%,  0.53%,  0.13%,  1.33%, 10.27%,  0.00%,  0.13%,  0.13%,  0.27%, 53.47%, 21.33%,  3.07%,  6.53%, 25121.65, 1815.32, 6287.35, 25769.14 , 18, 253, 117.62, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.01%,0.00%, 0.74%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.38%,0.00%, 0.62%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.86%, 68.57%,0.00%, 11.43%, 17.14%, 0.00%, 0.00%, 0.00%, 0.00%, 3.76%, 38.35%,0.00%, 26.32%, 31.58%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 18.0, 0.0, 75.0, 0.0, 23.0, 5.236, 113
50, P-SLICE,   50, 34.45,       6184, 0,0.00,28.000,40.258, 48.554, 48.799, 42.363, 0.940483, 12.254,0, 49 48 47 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.00%,  0.00%,  0.52%, 1.31%,  0.39%,  0.39%,  1.84%, 11.02%,  0.00%,  0.52%,  0.92%,  1.05%, 52.23%, 22.18%,  3.02%,  4.46%, 25150.77, 1808.97, 6288.29, 25757.07 , 18, 253, 117.62, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.30%,0.00%, 0.57%, 1.14%, 0.00%, 0.00%, 0.00%, 0.00%, 2.22%, 66.67%,0.00%, 22.22%, 8.89%, 0.00%, 0.00%, 0.00%, 0.00%, 3.08%, 32.31%,0.00%, 29.23%, 35.38%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 19.0, 0.0, 85.0, 0.0, 25.0, 5.236, 148
51, P-SLICE,   51, 34.48,       5744, 0,0.00,28.000,40.246, 48.541, 48.802, 42.353, 0.940335, 12.243,0, 50 49 48 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.40%, 1.98%,  0.53%,  1.32%,  0.40%, 12.17%,  0.00%,  0.26%,  0.66%,  0.79%, 52.12%, 23.94%,  2.25%,  3.17%, 25162.18, 1810.15, 6296.15, 25694.07 , 18, 253, 117.62, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 98.99%,0.00%, 0.75%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.82%,0.00%, 3.63%, 1.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.00%,0.00%, 4.00%, 8.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.40%, 24.00%,0.00%, 35.20%, 38.40%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 20.0, 0.0, 71.0, 0.0, 25.0, 4.980, 149
52, P-SLICE,   52, 36.00,        792, 0,0.00,28.000,40.247, 48.541, 48.802, 42.353, 0.940338, 12.243,0, 51 50 49 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.51%,  0.17%,  0.17%,  0.00%,  0.51%,  0.00%,  0.00%, 69.74%, 27.35%,  1.03%,  0.51%, 25161.50, 1808.98, 6305.30, 25161.50 , 18, 253, 117.62, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.19%,0.00%, 1.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.71%,0.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.0, 0.0, 13.0, 0.0, 70.0, 0.0, 18.0, 8.336, 122
53, P-SLICE,   53, 34.47,       5984, 0,0.00,28.000,40.258, 48.554, 48.792, 42.362, 0.940476, 12.253,0, 52 51 50 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.40%, 1.47%,  0.13%,  0.40%,  1.47%, 10.58%,  0.00%,  0.40%,  1.61%,  2.41%, 53.55%, 23.16%,  1.61%,  2.68%, 25146.16, 1809.57, 6288.39, 25674.02 , 18, 253, 117.61, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.32%,0.00%, 0.56%, 1.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.57%,0.00%, 20.00%, 11.43%, 0.00%, 0.00%, 0.00%, 0.00%, 3.31%, 31.40%,0.00%, 38.02%, 27.27%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 15.0, 0.0, 66.0, 0.0, 20.0, 5.762, 103
54, P-SLICE,   54, 34.47,       6192, 0,0.00,28.000,40.242, 48.544, 48.822, 42.352, 0.940272, 12.238,0, 53 52 51 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.66%, 1.19%,  0.13%,  0.93%,  1.32%, 10.58%,  0.00%,  0.53%,  0.66%,  1.19%, 52.38%, 24.47%,  2.12%,  3.70%, 25194.61, 1804.18, 6296.65, 25891.38 , 18, 253, 117.61, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.43%,0.00%, 2.55%, 1.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 67.74%,0.00%, 16.13%, 16.13%, 0.00%, 0.00%, 0.00%, 0.00%, 4.88%, 30.08%,0.00%, 26.83%, 38.21%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 63.0, 0.0, 21.0, 5.404, 103
55, P-SLICE,   55, 34.47,       6328, 0,0.00,28.000,40.252, 48.550, 48.822, 42.360, 0.940373, 12.246,0, 54 53 52 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.40%, 1.73%,  0.40%,  0.80%,  1.86%, 10.23%,  0.00%,  0.13%,  0.27%,  0.80%, 52.46%, 24.57%,  1.99%,  4.38%, 25127.18, 1805.36, 6299.10, 25879.44 , 18, 253, 117.61, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.88%,0.00%, 0.52%, 2.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.84%,0.00%, 19.35%, 25.81%, 0.00%, 0.00%, 0.00%, 0.00%, 2.52%, 32.77%,0.00%, 19.33%, 45.38%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 8.0, 0.0, 22.0, 0.0, 93.0, 0.0, 29.0, 5.571, 122
56, P-SLICE,   56, 34.47,       5856, 0,0.00,28.000,40.255, 48.538, 48.820, 42.361, 0.940469, 12.253,0, 55 54 53 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.80%, 2.13%,  0.27%,  0.80%,  1.33%,  9.87%,  0.00%,  0.80%,  1.47%,  2.40%, 53.07%, 22.80%,  1.87%,  2.40%, 25149.92, 1806.44, 6292.96, 25804.47 , 18, 253, 117.61, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.50%,0.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.72%,0.00%, 2.19%, 1.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.43%,0.00%, 11.43%, 17.14%, 0.00%, 0.00%, 0.00%, 0.00%, 5.17%, 31.03%,0.00%, 30.17%, 33.62%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 19.0, 0.0, 76.0, 0.0, 25.0, 5.431, 44
57, P-SLICE,   57, 34.48,       6640, 0,0.00,28.000,40.262, 48.533, 48.841, 42.368, 0.940544, 12.258,0, 56 55 54 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.80%, 2.26%,  0.40%,  0.53%,  2.12%,  9.03%,  0.00%,  0.40%,  0.00%,  0.00%, 52.72%, 23.24%,  3.05%,  5.44%, 25072.75, 1803.26, 6279.50, 25768.84 , 18, 253, 117.61, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.79%,0.00%, 0.55%, 1.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.97%,0.00%, 10.26%, 30.77%, 0.00%, 0.00%, 0.00%, 0.00%, 5.22%, 35.65%,0.00%, 33.91%, 25.22%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 19.0, 0.0, 84.0, 0.0, 24.0, 5.864, 57
58, P-SLICE,   58, 34.84,       1480, 0,0.00,28.000,40.266, 48.536, 48.850, 42.373, 0.940560, 12.259,0, 57 56 55 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.86%,  0.17%,  0.69%,  0.69%,  0.00%,  0.00%,  0.00%,  0.00%, 69.59%, 26.98%,  0.34%,  0.69%, 25045.71, 1800.56, 6287.79, 25072.97 , 18, 253, 117.61, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 98.78%,0.00%, 1.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.37%,0.00%, 0.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 33.33%,0.00%, 33.33%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 25.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.0, 0.0, 12.0, 0.0, 71.0, 0.0, 17.0, 8.171, 129
59, P-SLICE,   59, 33.98,       6264, 0,0.00,28.000,40.280, 48.528, 48.854, 42.383, 0.940764, 12.274,0, 58 57 56 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.68%, 1.64%,  0.55%,  0.27%,  1.37%, 11.34%,  0.00%,  0.41%,  0.41%,  0.27%, 54.64%, 22.40%,  1.91%,  4.10%, 25032.14, 1801.18, 6285.29, 25814.73 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.01%,0.00%, 0.50%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.82%,0.00%, 1.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.96%,0.00%, 22.22%, 14.81%, 0.00%, 0.00%, 0.00%, 0.00%, 4.17%, 26.67%,0.00%, 29.17%, 40.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 1.0, 14.0, 0.0, 59.0, 0.0, 19.0, 5.602, 33
60, P-SLICE,   60, 34.00,       6168, 0,0.00,28.000,40.398, 48.534, 48.825, 42.469, 0.942694, 12.418,0, 59 58 57 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.14%,  0.00%,  0.69%, 2.35%,  0.69%,  0.14%,  1.24%,  9.54%,  0.00%,  0.00%,  0.55%,  1.24%, 55.33%, 22.82%,  1.52%,  3.73%, 24383.56, 1806.38, 6101.45, 25127.63 , 18, 253, 117.61, 75, 150, 131.02, 89, 180, 129.24, 0.00%, 98.77%,0.00%, 0.49%, 0.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.40%,0.00%, 0.00%, 0.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 25.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 5.41%, 32.43%,0.00%, 33.33%, 28.83%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 1.0, 16.0, 0.0, 64.0, 0.0, 22.0, 5.347, 78
61, P-SLICE,   61, 34.46,       6360, 0,0.00,28.000,40.331, 48.560, 48.784, 42.416, 0.941742, 12.346,0, 60 59 58 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.65%, 2.20%,  0.39%,  0.91%,  1.82%, 10.77%,  0.00%,  0.65%,  0.00%,  0.26%, 51.23%, 23.09%,  2.72%,  5.32%, 24761.15, 1809.15, 6190.28, 25450.78 , 18, 253, 117.64, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.32%,0.00%, 2.11%, 1.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 60.00%,0.00%, 28.57%, 11.43%, 0.00%, 0.00%, 0.00%, 0.00%, 3.82%, 32.82%,0.00%, 33.59%, 29.77%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 72.0, 0.0, 21.0, 5.289, 99
62, P-SLICE,   62, 33.96,       5704, 0,0.00,28.000,40.312, 48.535, 48.774, 42.398, 0.941408, 12.322,0, 61 60 59 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.14%,  0.00%,  0.69%, 1.80%,  0.55%,  0.55%,  2.90%,  8.30%,  0.00%,  0.41%,  0.28%,  1.66%, 54.91%, 24.07%,  1.38%,  2.35%, 24808.91, 1817.84, 6286.94, 25391.67 , 18, 253, 117.63, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.00%,0.00%, 1.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.79%,0.00%, 1.10%, 1.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 36.36%,0.00%, 36.36%, 27.27%, 0.00%, 0.00%, 0.00%, 0.00%, 6.32%, 30.53%,0.00%, 35.79%, 27.37%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 14.0, 0.0, 60.0, 0.0, 19.0, 5.604, 78
63, P-SLICE,   63, 34.50,       5984, 0,0.00,28.000,40.302, 48.537, 48.786, 42.392, 0.941215, 12.307,0, 62 61 60 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.06%, 1.98%,  0.26%,  0.00%,  1.46%, 10.71%,  0.00%,  0.00%,  1.06%,  2.65%, 52.91%, 23.15%,  1.59%,  3.17%, 24847.12, 1814.14, 6300.82, 25643.11 , 18, 253, 117.61, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.50%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.52%,0.00%, 32.26%, 3.23%, 0.00%, 0.00%, 0.00%, 0.00%, 6.02%, 33.08%,0.00%, 33.83%, 27.07%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 62.0, 0.0, 21.0, 5.296, 100
64, P-SLICE,   64, 35.50,       1000, 0,0.00,28.000,40.304, 48.541, 48.786, 42.394, 0.941214, 12.307,0, 63 62 61 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.53%,  0.18%,  0.00%,  0.00%,  0.18%,  0.53%,  0.00%, 72.11%, 26.49%,  0.00%,  0.00%, 24831.66, 1812.24, 6310.25, 24842.72 , 18, 253, 117.61, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.06%,0.00%, 1.29%, 0.65%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.0, 0.0, 13.0, 0.0, 68.0, 0.0, 18.0, 8.331, 133
65, P-SLICE,   65, 34.49,       5744, 0,0.00,28.000,40.309, 48.558, 48.786, 42.399, 0.941308, 12.314,0, 64 63 62 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.06%, 1.86%,  0.13%,  0.00%,  1.86%, 10.76%,  0.00%,  0.00%,  0.00%,  0.00%, 53.52%, 21.91%,  3.45%,  5.44%, 24806.23, 1810.64, 6295.89, 25391.92 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.00%,0.00%, 12.50%, 22.50%, 0.00%, 0.00%, 0.00%, 0.00%, 6.15%, 31.54%,0.00%, 33.08%, 29.23%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 61.0, 0.0, 20.0, 5.569, 96
66, P-SLICE,   66, 34.50,       6736, 0,0.00,28.000,40.301, 48.550, 48.772, 42.391, 0.941138, 12.302,0, 65 64 63 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.88%, 2.38%,  0.00%,  0.50%,  1.50%, 13.53%,  0.00%,  0.25%,  0.38%,  2.88%, 50.00%, 22.43%,  1.88%,  3.26%, 24842.12, 1813.51, 6311.36, 25527.21 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.84%,0.00%, 1.62%, 0.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 60.00%,0.00%, 30.00%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.85%, 29.70%,0.00%, 34.55%, 30.91%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 63.0, 0.0, 21.0, 5.436, 72
67, P-SLICE,   67, 34.08,       6008, 0,0.00,28.000,40.291, 48.543, 48.802, 42.386, 0.941051, 12.295,0, 66 65 64 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.81%, 2.30%,  0.54%,  0.68%,  1.76%,  9.62%,  0.00%,  0.00%,  0.00%,  0.00%, 54.07%, 22.63%,  2.44%,  5.15%, 24919.88, 1808.64, 6318.57, 25486.84 , 18, 253, 117.61, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.01%,0.00%, 0.50%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.09%,0.00%, 0.58%, 2.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.06%,0.00%, 29.03%, 12.90%, 0.00%, 0.00%, 0.00%, 0.00%, 5.22%, 33.04%,0.00%, 31.30%, 30.43%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 14.0, 0.0, 56.0, 0.0, 19.0, 5.476, 104
