Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
20, b-SLICE,   19, 34.27,      28896, 0,-3829754.00,29.741,15, 18 ,20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.42%,  5.54%,  0.00%,  0.64%, 81.83%,  5.57%, 12652.45, 782.80, 974.62, 14988.81 , 0, 239, 87.86, 94, 164, 137.22, 96, 191, 119.97, 0.00%, 92.71%,0.00%, 2.53%, 4.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.87%,0.00%, 19.54%, 27.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 239.0, 10.0, 38.0, 2.0, 1639.0, 4.764, 145
21, P-SLICE,   24, 33.07,     195800, 0,-3980942.00,28.000,11, 20 , -, 5.22%,  9.82%, 11.78%, 1.12%,  1.18%,  3.13%, 0.00%, 12.51%, 30.20%,  0.00%,  0.76%, 21.37%,  2.90%, 15111.97, 870.78, 1096.40, 33743.91 , 0, 243, 89.59, 97, 165, 137.31, 96, 194, 119.67, 44.23%, 35.23%,0.00%, 6.16%, 14.43%, 0.00%, 0.00%, 0.00%, 0.00%, 13.87%, 9.33%,0.00%, 21.80%, 55.27%, 0.00%, 0.00%, 0.00%, 0.00%, 220.0, 0.0, 17.0, 0.0, 113.0, 0.0, 737.0, 10.864, 496
22, B-SLICE,   22, 32.75,      51840, 0,-3904229.00,30.271,14, 20 ,24 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.03%,  8.12%,  0.00%,  1.68%, 71.03%,  7.15%, 13424.52, 828.86, 1018.75, 18600.63 , 0, 244, 89.18, 98, 164, 137.35, 96, 194, 119.82, 0.00%, 85.52%,0.00%, 6.95%, 7.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.10%,0.00%, 25.19%, 22.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 462.0, 9.0, 53.0, 1.0, 1640.0, 6.767, 240
23, b-SLICE,   21, 33.83,      29672, 0,3.64,29.741,16, 20 ,22 24 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.67%,  4.10%,  0.00%,  0.76%, 83.99%,  3.47%, 12878.28, 817.01, 1003.00, 15257.43 , 0, 242, 88.53, 96, 164, 137.24, 96, 194, 119.86, 0.00%, 91.62%,0.00%, 3.20%, 5.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.83%,0.00%, 25.83%, 23.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 460.0, 5.0, 49.0, 1.0, 1653.0, 6.443, 264
24, b-SLICE,   23, 33.56,      28776, 0,-3905135.00,29.741,15, 22 ,24 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.45%,  4.85%,  0.00%,  0.85%, 83.16%,  4.68%, 13278.48, 828.25, 1031.72, 15665.63 , 0, 244, 89.41, 98, 164, 137.37, 96, 194, 119.83, 0.00%, 92.95%,0.00%, 2.61%, 4.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.29%,0.00%, 20.07%, 26.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 460.0, 0.0, 40.0, 0.0, 1646.0, 7.990, 452
25, P-SLICE,   28, 32.97,     199232, 0,-3976187.00,28.000,11, 24 , -, 6.74%, 10.83%, 12.85%, 1.47%,  1.49%,  2.75%, 0.00%, 12.77%, 28.98%,  0.00%,  1.08%, 17.89%,  3.15%, 14762.57, 917.19, 1073.19, 33952.94 , 0, 245, 91.04, 96, 167, 137.50, 95, 198, 119.35, 49.87%, 29.28%,0.00%, 5.80%, 15.13%, 0.00%, 0.00%, 0.00%, 0.00%, 14.69%, 10.85%,0.00%, 20.55%, 53.91%, 0.00%, 0.00%, 0.00%, 0.00%, 443.0, 0.0, 22.0, 0.0, 132.0, 0.0, 733.0, 9.376, 536
26, B-SLICE,   26, 33.16,      55328, 0,-3957596.00,30.271,14, 24 ,28 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.28%,  8.84%,  0.00%,  1.54%, 71.10%,  7.23%, 13932.06, 906.23, 1044.26, 19402.17 , 0, 243, 90.81, 98, 167, 137.56, 95, 197, 119.42, 0.00%, 86.34%,0.00%, 7.09%, 6.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.91%,0.00%, 26.79%, 23.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 146.0, 17.0, 48.0, 2.0, 1325.0, 4.731, 78
27, b-SLICE,   25, 33.47,      36280, 0,3.14,29.741,16, 24 ,26 28 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.29%,  5.76%,  0.00%,  1.12%, 79.45%,  4.37%, 13540.45, 918.39, 1062.21, 16456.18 , 0, 242, 90.28, 98, 167, 137.46, 95, 196, 119.50, 0.00%, 89.72%,0.00%, 4.83%, 5.68%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.80%,0.00%, 28.31%, 22.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 145.0, 12.0, 52.0, 0.0, 1338.0, 4.407, 62
28, b-SLICE,   27, 33.84,      30864, 0,-3936415.00,29.741,15, 26 ,28 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.28%,  4.82%,  0.00%,  0.75%, 83.33%,  4.82%, 13303.68, 897.22, 1026.92, 15681.05 , 2, 244, 91.02, 98, 167, 137.57, 95, 197, 119.41, 0.00%, 93.04%,0.00%, 2.30%, 4.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.62%,0.00%, 22.37%, 24.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 146.0, 6.0, 45.0, 1.0, 1331.0, 5.938, 239
29, P-SLICE,   32, 32.96,     190656, 0,-3990974.00,28.000,11, 28 , -, 6.33%,  9.12%, 10.57%, 1.19%,  0.84%,  2.35%, 0.00%, 11.74%, 28.96%,  0.00%,  0.90%, 23.84%,  4.17%, 14890.71, 905.07, 1058.16, 33064.79 , 3, 249, 92.38, 95, 167, 137.77, 94, 199, 119.24, 42.20%, 38.73%,0.00%, 5.23%, 13.84%, 0.00%, 0.00%, 0.00%, 0.00%, 11.40%, 13.19%,0.00%, 22.25%, 53.16%, 0.00%, 0.00%, 0.00%, 0.00%, 128.0, 0.0, 18.0, 0.0, 121.0, 0.0, 640.0, 9.277, 754
