Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
20, b-SLICE,   19, 36.00,      15248, 0,-3829754.00,30.271,15, 18 ,20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.23%,  3.57%,  0.00%,  0.50%, 91.83%,  1.88%, 10709.69, 683.87, 890.06, 12498.77 , 0, 239, 87.86, 94, 164, 137.22, 96, 191, 119.97, 0.00%, 97.84%,0.00%, 0.80%, 1.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.88%,0.00%, 23.21%, 36.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 24.0, 1.0, 36.0, 0.0, 112.0, 7.483, 260
21, P-SLICE,   24, 32.44,     195496, 0,-3980942.00,28.000,11, 20 , -, 5.82%, 10.32%, 11.84%, 1.25%,  1.37%,  2.95%, 0.00%, 11.84%, 34.41%,  0.00%,  0.70%, 16.79%,  2.70%, 11750.92, 764.22, 952.37, 29933.34 , 0, 243, 89.59, 97, 165, 137.31, 96, 194, 119.67, 49.38%, 29.68%,0.00%, 6.18%, 14.75%, 0.00%, 0.00%, 0.00%, 0.00%, 12.85%, 7.83%,0.00%, 21.89%, 57.43%, 0.00%, 0.00%, 0.00%, 0.00%, 5.0, 0.0, 22.0, 0.0, 129.0, 0.0, 84.0, 9.830, 745
22, B-SLICE,   22, 34.00,      41184, 0,-3904229.00,30.271,14, 20 ,24 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.57%,  7.19%,  0.00%,  1.58%, 73.79%,  5.87%, 10809.79, 717.85, 897.63, 15847.84 , 0, 244, 89.18, 98, 164, 137.35, 96, 194, 119.82, 0.00%, 86.46%,0.00%, 5.84%, 7.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.68%,0.00%, 25.45%, 23.65%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 27.0, 16.0, 63.0, 3.0, 114.0, 4.512, 180
23, b-SLICE,   21, 36.00,      15104, 0,3.64,30.271,16, 20 ,22 24 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.93%,  3.18%,  0.00%,  0.39%, 92.49%,  1.00%, 11051.29, 710.16, 925.17, 12825.30 , 0, 242, 88.53, 96, 164, 137.24, 96, 194, 119.86, 0.00%, 96.99%,0.00%, 1.24%, 1.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.47%,0.00%, 32.03%, 37.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 26.0, 13.0, 52.0, 0.0, 130.0, 4.616, 196
24, b-SLICE,   23, 36.00,      15152, 0,-3905135.00,30.271,15, 22 ,24 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.61%,  2.75%,  0.00%,  0.18%, 92.68%,  1.79%, 11088.13, 727.62, 933.78, 12949.49 , 0, 244, 89.41, 98, 164, 137.37, 96, 194, 119.83, 0.00%, 97.33%,0.00%, 0.98%, 1.77%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.67%,0.00%, 23.48%, 34.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 31.0, 7.0, 39.0, 0.0, 124.0, 5.454, 118
25, P-SLICE,   28, 31.97,     207608, 0,-3976187.00,28.000,11, 24 , -, 6.72%, 10.85%, 14.28%, 1.52%,  1.29%,  3.08%, 0.00%, 12.14%, 34.30%,  0.00%,  0.70%, 12.24%,  2.89%, 11383.03, 768.97, 934.32, 30328.28 , 0, 245, 91.04, 96, 167, 137.50, 95, 198, 119.35, 56.64%, 21.79%,0.00%, 5.62%, 15.99%, 0.00%, 0.00%, 0.00%, 0.00%, 13.47%, 8.18%,0.00%, 20.80%, 57.56%, 0.00%, 0.00%, 0.00%, 0.00%, 9.0, 0.0, 22.0, 0.0, 120.0, 0.0, 90.0, 10.271, 464
26, B-SLICE,   26, 34.00,      43168, 0,-3957596.00,30.271,14, 24 ,28 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.11%,  7.35%,  0.00%,  1.21%, 73.20%,  7.12%, 11231.75, 763.93, 922.80, 16586.31 , 0, 243, 90.81, 98, 167, 137.56, 95, 197, 119.42, 0.00%, 86.81%,0.00%, 6.11%, 7.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.12%,0.00%, 25.83%, 21.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 30.0, 8.0, 57.0, 2.0, 119.0, 6.881, 485
27, b-SLICE,   25, 36.00,      16760, 0,3.14,30.271,16, 24 ,26 28 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.78%,  3.03%,  0.00%,  0.25%, 91.36%,  1.57%, 11710.14, 804.33, 978.27, 13978.75 , 0, 242, 90.28, 98, 167, 137.46, 95, 196, 119.50, 0.00%, 96.07%,0.00%, 1.06%, 2.95%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.50%,0.00%, 26.47%, 36.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 25.0, 3.0, 47.0, 0.0, 132.0, 8.750, 310
28, b-SLICE,   27, 36.00,      15352, 0,-3936415.00,30.271,15, 26 ,28 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.90%,  2.75%,  0.00%,  0.32%, 92.53%,  1.50%, 11084.61, 760.66, 923.69, 12952.24 , 2, 244, 91.02, 98, 167, 137.57, 95, 197, 119.41, 0.00%, 96.97%,0.00%, 1.21%, 1.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.84%,0.00%, 22.66%, 37.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 26.0, 0.0, 47.0, 0.0, 125.0, 8.809, 305
29, P-SLICE,   32, 32.24,     190544, 0,-3990974.00,28.000,11, 28 , -, 5.93%,  9.93%, 11.06%, 0.95%,  1.19%,  2.96%, 0.00%, 12.40%, 31.09%,  0.00%,  0.67%, 20.16%,  3.66%, 11489.83, 784.74, 914.70, 29193.20 , 3, 249, 92.38, 95, 167, 137.77, 94, 199, 119.24, 45.31%, 33.93%,0.00%, 5.47%, 15.42%, 0.00%, 0.00%, 0.00%, 0.00%, 12.62%, 10.71%,0.00%, 22.63%, 54.17%, 0.00%, 0.00%, 0.00%, 0.00%, 7.0, 0.0, 18.0, 0.0, 131.0, 0.0, 92.0, 8.765, 621
30, B-SLICE,   30, 34.00,      40776, 0,-3974638.00,30.271,14, 28 ,32 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.99%,  6.54%,  0.00%,  0.94%, 78.40%,  5.13%, 10810.92, 755.04, 901.96, 16089.89 , 0, 244, 92.06, 95, 166, 137.77, 95, 199, 119.33, 0.00%, 89.83%,0.00%, 5.01%, 5.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.14%,0.00%, 27.13%, 24.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 32.0, 11.0, 59.0, 2.0, 130.0, 5.939, 261
31, b-SLICE,   29, 36.00,      14696, 0,4.05,30.271,16, 28 ,30 32 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.64%,  2.02%,  0.00%,  0.18%, 94.04%,  1.12%, 11124.29, 726.78, 940.58, 12808.33 , 0, 245, 91.38, 96, 167, 137.55, 95, 198, 119.39, 0.00%, 97.30%,0.00%, 0.86%, 1.87%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.13%,0.00%, 25.00%, 35.87%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 31.0, 11.0, 42.0, 1.0, 142.0, 4.203, 81
32, b-SLICE,   31, 36.00,      16008, 0,-3941276.00,30.271,15, 30 ,32 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.86%,  2.57%,  0.00%,  0.54%, 92.43%,  1.61%, 10953.69, 755.49, 907.63, 12883.41 , 0, 247, 92.30, 95, 166, 137.80, 95, 199, 119.34, 0.00%, 97.10%,0.00%, 1.17%, 1.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.45%,0.00%, 28.03%, 26.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 32.0, 6.0, 40.0, 0.0, 136.0, 6.864, 163
33, P-SLICE,   36, 32.32,     208144, 0,-4011753.00,28.000,11, 32 , -, 6.61%, 11.15%, 13.72%, 2.02%,  1.60%,  3.89%, 0.00%, 12.03%, 32.34%,  0.00%,  0.70%, 12.97%,  2.97%, 11483.37, 762.94, 924.02, 32060.60 , 0, 244, 93.97, 95, 167, 138.15, 89, 200, 118.98, 55.76%, 23.03%,0.00%, 5.45%, 15.90%, 0.00%, 0.00%, 0.00%, 0.00%, 17.29%, 8.44%,0.00%, 21.77%, 52.61%, 0.00%, 0.00%, 0.00%, 0.00%, 13.0, 0.0, 25.0, 1.0, 152.0, 0.0, 98.0, 8.807, 602
34, B-SLICE,   34, 34.00,      43856, 0,-3991315.00,30.271,14, 32 ,36 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.84%,  8.73%,  0.00%,  1.48%, 70.32%,  7.64%, 10747.59, 760.19, 889.43, 15799.77 , 0, 246, 93.49, 95, 167, 138.11, 94, 199, 119.03, 0.00%, 85.68%,0.00%, 6.61%, 7.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.08%,0.00%, 23.56%, 25.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 33.0, 18.0, 48.0, 4.0, 137.0, 4.406, 256
35, b-SLICE,   33, 36.00,      15736, 0,3.66,30.271,16, 32 ,34 36 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.13%,  2.30%,  0.00%,  0.36%, 93.12%,  1.08%, 10973.12, 804.39, 917.82, 12852.48 , 0, 246, 92.92, 95, 166, 137.94, 94, 199, 119.07, 0.00%, 96.74%,0.00%, 1.28%, 1.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.46%,0.00%, 30.77%, 30.77%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 33.0, 14.0, 39.0, 1.0, 151.0, 4.188, 72
36, b-SLICE,   35, 36.00,      16072, 0,-3965949.00,30.271,15, 34 ,36 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.65%,  3.00%,  0.00%,  0.29%, 92.78%,  1.29%, 10868.85, 748.74, 899.66, 12839.08 , 0, 248, 93.87, 93, 167, 138.19, 93, 200, 119.05, 0.00%, 97.22%,0.00%, 0.71%, 2.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 34.38%,0.00%, 30.47%, 35.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 32.0, 7.0, 46.0, 0.0, 144.0, 5.482, 133
37, P-SLICE,   40, 32.26,     219568, 0,-4099834.00,28.000,11, 36 , -, 5.75%, 10.50%, 13.63%, 1.59%,  1.07%,  3.26%, 0.00%, 11.24%, 34.65%,  0.00%,  1.09%, 15.10%,  2.11%, 11865.45, 806.02, 947.33, 33813.44 , 0, 249, 95.57, 91, 168, 138.43, 89, 204, 118.72, 53.12%, 26.87%,0.00%, 6.02%, 13.99%, 0.00%, 0.00%, 0.00%, 0.00%, 13.52%, 7.33%,0.00%, 23.52%, 55.62%, 0.00%, 0.00%, 0.00%, 0.00%, 14.0, 0.0, 18.0, 0.0, 111.0, 0.0, 100.0, 9.977, 625
