Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
44, b-SLICE,   42, 34.00,       1784, 0,5.00,40.886, 49.316, 49.445, 43.010, 0.949741, 12.988,32, 40 37 ,43 45 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.39%,  1.36%,  3.70%,  0.00%,  0.39%,  0.00%,  0.00%, 86.74%,  1.56%,  3.31%,  2.53%, 21752.04, 1536.07, 5744.23, 21981.02 , 19, 253, 117.63, 76, 149, 130.99, 89, 179, 129.22, 0.00%, 99.78%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 8.33%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 70.83%,0.00%, 20.83%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.62%,0.00%, 34.38%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 56.0, 14.0, 34.0, 0.0, 329.0, 3.818, 4
45, b-SLICE,   44, 34.00,       1232, 0,5.16,40.884, 49.305, 49.443, 43.007, 0.949741, 12.988,31, 43 40 37 ,45 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.42%,  0.42%,  0.84%,  0.00%,  0.00%,  0.00%,  0.00%, 93.71%,  1.47%,  1.47%,  1.68%, 21743.79, 1538.47, 5750.12, 21911.70 , 19, 253, 117.63, 75, 149, 130.98, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.78%,0.00%, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.78%,0.00%, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 25.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 57.0, 11.0, 42.0, 0.0, 313.0, 3.844, 15
46, P-SLICE,   46, 32.00,       1144, 0,39.60,40.924, 49.302, 49.445, 43.036, 0.949833, 12.996,30, 45 43 40 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.43%,  0.64%,  0.21%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 94.66%,  3.42%,  0.64%,  0.00%, 21542.45, 1538.74, 5741.72, 21582.39 , 19, 253, 117.64, 75, 149, 130.99, 89, 180, 129.22, 0.00%, 99.55%,0.00%, 0.00%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 84.21%,0.00%, 0.00%, 15.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 26.0, 0.0, 25.0, 0.0, 32.0, 0.0, 309.0, 5.711, 18
47, P-SLICE,   51, 32.00,       6152, 0,5.15,40.894, 49.289, 49.437, 43.011, 0.949731, 12.987,26, 46 45 43 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.16%, 0.33%,  0.00%,  0.00%, 0.33%,  0.00%,  1.48%, 0.00%,  0.66%,  0.33%,  3.45%, 11.33%,  0.00%,  0.16%,  0.00%,  0.33%, 71.76%,  2.46%,  2.96%,  4.27%, 21744.02, 1545.96, 5735.36, 23970.16 , 18, 253, 117.62, 76, 150, 130.98, 89, 179, 129.22, 0.00%, 99.09%,0.00%, 0.23%, 0.68%, 0.00%, 0.00%, 0.00%, 0.00%, 5.26%, 84.21%,0.00%, 10.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.88%, 43.90%,0.00%, 39.02%, 12.20%, 0.00%, 0.00%, 0.00%, 0.00%, 10.19%, 25.93%,0.00%, 26.85%, 37.04%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 12.0, 0.0, 27.0, 0.0, 48.0, 0.0, 274.0, 4.776, 20
48, B-SLICE,   49, 33.00,       2904, 0,5.14,40.877, 49.317, 49.442, 43.003, 0.949727, 12.987,29, 46 45 43 ,51 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.18%,  0.00%,  0.35%, 0.00%,  0.00%,  0.18%,  2.12%,  7.05%,  0.00%,  0.71%,  0.88%,  1.23%, 78.13%,  1.76%,  2.82%,  4.59%, 21804.43, 1536.39, 5738.69, 22327.24 , 18, 253, 117.62, 76, 150, 130.98, 89, 179, 129.22, 0.00%, 100.23%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.33%,0.00%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.64%,0.00%, 24.24%, 12.12%, 0.00%, 0.00%, 0.00%, 0.00%, 3.95%, 43.42%,0.00%, 34.21%, 18.42%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 2.0, 27.0, 21.0, 31.0, 7.0, 296.0, 2.378, 5
49, b-SLICE,   47, 34.00,       1576, 0,4.99,40.885, 49.309, 49.446, 43.008, 0.949751, 12.989,32, 46 43 ,49 51 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.59%,  2.37%,  2.56%,  0.00%,  0.99%,  0.00%,  0.00%, 87.57%,  1.78%,  1.97%,  2.17%, 21734.24, 1537.26, 5752.80, 21866.60 , 18, 253, 117.63, 76, 149, 130.98, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.35%,0.00%, 17.65%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.45%,0.00%, 45.45%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.83%,0.00%, 37.50%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 10.0, 25.0, 14.0, 32.0, 1.0, 342.0, 2.376, 10
50, b-SLICE,   48, 34.00,       1736, 0,5.00,40.838, 49.298, 49.447, 42.971, 0.949610, 12.977,32, 46 43 ,49 51 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.19%,  1.39%,  2.58%,  0.00%,  1.19%,  0.40%,  0.20%, 88.10%,  1.39%,  0.79%,  2.78%, 21981.61, 1538.96, 5757.45, 22149.43 , 19, 253, 117.63, 76, 150, 130.98, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.42%,0.00%, 26.32%, 5.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.15%,0.00%, 46.15%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.57%,0.00%, 28.57%, 17.86%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 7.0, 43.0, 14.0, 32.0, 2.0, 354.0, 2.440, 2
51, b-SLICE,   50, 34.00,       1192, 0,5.16,40.877, 49.319, 49.465, 43.005, 0.949683, 12.983,31, 49 46 43 ,51 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.20%,  0.80%,  0.60%,  0.00%,  0.60%,  0.60%,  0.60%, 88.62%,  2.79%,  2.40%,  2.79%, 21776.70, 1532.16, 5759.22, 21831.31 , 18, 253, 117.62, 76, 150, 130.98, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.44%,0.00%, 0.00%, 5.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.95%,0.00%, 15.79%, 5.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.00%,0.00%, 15.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 38.0, 6.0, 33.0, 0.0, 319.0, 3.624, 5
52, P-SLICE,   52, 32.00,       1080, 0,39.63,40.903, 49.297, 49.442, 43.020, 0.949766, 12.990,30, 51 49 46 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.64%,  0.85%,  0.43%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 94.44%,  3.21%,  0.43%,  0.00%, 21645.72, 1539.94, 5741.32, 21679.94 , 18, 253, 117.62, 76, 150, 130.98, 89, 179, 129.22, 0.00%, 99.32%,0.00%, 0.00%, 0.68%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.95%,0.00%, 0.00%, 21.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 0.00%, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 0.0, 26.0, 0.0, 33.0, 0.0, 316.0, 6.160, 24
53, P-SLICE,   57, 32.00,       5712, 0,5.15,40.884, 49.265, 49.457, 43.003, 0.949808, 12.994,26, 52 51 49 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.32%, 0.16%,  0.16%,  2.42%, 0.00%,  0.48%,  0.64%,  2.09%, 12.08%,  0.00%,  0.00%,  0.00%,  0.32%, 70.37%,  3.38%,  2.09%,  5.48%, 21795.20, 1544.23, 5729.23, 23771.44 , 19, 253, 117.61, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.32%,0.00%, 0.23%, 0.46%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 84.00%,0.00%, 8.00%, 8.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.14%, 46.43%,0.00%, 32.14%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 13.28%, 28.12%,0.00%, 36.72%, 21.88%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 14.0, 0.0, 16.0, 0.0, 33.0, 0.0, 273.0, 4.440, 21
54, B-SLICE,   55, 33.00,       3032, 0,5.16,40.864, 49.279, 49.451, 42.989, 0.949641, 12.979,29, 52 51 49 ,57 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.18%,  0.00%,  0.00%, 0.18%,  0.00%,  0.36%, 0.00%,  0.00%,  0.73%,  1.64%,  8.20%,  0.00%,  0.00%,  0.00%,  0.00%, 80.69%,  2.73%,  1.64%,  3.64%, 21873.79, 1541.80, 5744.90, 22584.43 , 19, 253, 117.61, 76, 150, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.95%,0.00%, 21.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 5.26%, 47.37%,0.00%, 31.58%, 15.79%, 0.00%, 0.00%, 0.00%, 0.00%, 4.41%, 29.41%,0.00%, 38.24%, 27.94%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 20.0, 8.0, 33.0, 0.0, 297.0, 2.000, 2
55, b-SLICE,   53, 34.00,       2008, 0,4.98,40.879, 49.284, 49.443, 43.000, 0.949756, 12.989,32, 52 49 ,55 57 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.38%,  1.90%,  4.00%,  0.00%,  0.76%,  0.95%,  0.57%, 84.57%,  1.90%,  1.14%,  3.81%, 21788.37, 1542.04, 5739.91, 22086.26 , 19, 253, 117.61, 76, 150, 130.98, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.38%,0.00%, 33.33%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.27%,0.00%, 34.09%, 13.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 4.0, 43.0, 14.0, 47.0, 0.0, 354.0, 4.342, 163
56, b-SLICE,   54, 34.00,       1640, 0,4.99,40.847, 49.272, 49.447, 42.975, 0.949583, 12.974,32, 52 49 ,55 57 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.39%, 0.00%,  0.00%,  0.59%,  1.78%,  2.17%,  0.00%,  0.59%,  0.39%,  0.20%, 87.57%,  2.17%,  2.17%,  1.97%, 21936.97, 1543.89, 5753.30, 22233.86 , 19, 253, 117.61, 76, 150, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.35%,0.00%, 11.76%, 5.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 59.09%,0.00%, 36.36%, 4.55%, 0.00%, 0.00%, 0.00%, 0.00%, 8.33%, 45.83%,0.00%, 16.67%, 29.17%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 56.0, 14.0, 35.0, 5.0, 365.0, 3.431, 11
57, b-SLICE,   56, 34.00,       1624, 0,5.15,40.866, 49.288, 49.462, 42.994, 0.949691, 12.984,31, 55 52 49 ,57 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.20%, 0.00%,  0.00%,  0.20%,  1.58%,  1.78%,  0.00%,  0.00%,  0.00%,  0.00%, 87.57%,  3.16%,  2.76%,  2.76%, 21832.86, 1538.16, 5764.15, 22076.23 , 19, 253, 117.61, 76, 150, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.12%,0.00%, 5.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.64%,0.00%, 13.64%, 22.73%, 0.00%, 0.00%, 0.00%, 0.00%, 4.17%, 58.33%,0.00%, 20.83%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 52.0, 7.0, 33.0, 0.0, 333.0, 3.629, 17
58, P-SLICE,   58, 32.00,       1240, 0,39.57,40.898, 49.265, 49.457, 43.014, 0.949846, 12.997,30, 57 55 52 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.22%,  1.08%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 96.32%,  2.38%,  0.00%,  0.00%, 21676.67, 1543.32, 5734.89, 21728.33 , 19, 253, 117.61, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.78%,0.00%, 0.00%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.75%,0.00%, 0.00%, 31.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 29.0, 0.0, 21.0, 0.0, 23.0, 0.0, 329.0, 5.736, 54
59, P-SLICE,   63, 32.00,       6264, 0,5.09,40.917, 49.222, 49.381, 43.013, 0.950274, 13.034,26, 58 57 55 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.16%,  0.00%,  0.16%, 0.32%,  0.48%,  3.97%, 0.00%,  0.79%,  0.79%,  1.59%, 12.86%,  0.00%,  0.16%,  0.48%,  1.75%, 69.21%,  2.38%,  1.43%,  3.49%, 21621.86, 1566.69, 5667.48, 23654.66 , 18, 253, 117.61, 75, 150, 130.99, 90, 179, 129.22, 0.00%, 98.87%,0.00%, 0.00%, 1.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.19%,0.00%, 9.52%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 8.33%, 50.00%,0.00%, 20.83%, 20.83%, 0.00%, 0.00%, 0.00%, 0.00%, 20.83%, 22.92%,0.00%, 29.86%, 26.39%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 0.0, 22.0, 0.0, 46.0, 0.0, 281.0, 3.751, 28
60, B-SLICE,   61, 33.00,       2824, 0,5.09,40.926, 49.214, 49.381, 43.019, 0.950625, 13.065,29, 58 57 55 ,63 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.18%,  0.36%, 0.00%,  0.72%,  0.00%,  2.33%,  7.53%,  0.00%,  0.00%,  0.00%,  0.00%, 78.85%,  2.15%,  3.05%,  4.84%, 21572.51, 1565.62, 5643.52, 22205.97 , 18, 253, 117.64, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.10%,0.00%, 0.00%, 0.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.67%,0.00%, 36.67%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 4.17%, 37.50%,0.00%, 33.33%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 32.0, 15.0, 45.0, 3.0, 314.0, 2.640, 7
61, b-SLICE,   59, 34.00,       1896, 0,4.98,40.857, 49.271, 49.447, 42.983, 0.949733, 12.987,32, 58 55 ,61 63 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%, 0.00%,  0.00%,  0.39%,  1.94%,  2.71%,  0.00%,  0.19%,  1.16%,  0.78%, 86.05%,  2.33%,  2.52%,  1.74%, 21891.86, 1543.78, 5747.01, 22288.30 , 19, 253, 117.60, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 86.67%,0.00%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.52%,0.00%, 27.59%, 6.90%, 0.00%, 0.00%, 0.00%, 0.00%, 3.57%, 46.43%,0.00%, 21.43%, 28.57%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 11.0, 41.0, 19.0, 35.0, 3.0, 370.0, 2.447, 3
62, b-SLICE,   60, 34.00,       1792, 0,4.24,40.968, 49.211, 49.405, 43.053, 0.951365, 13.131,32, 58 55 ,61 63 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%, 0.00%,  0.00%,  0.00%,  2.31%,  2.70%,  0.00%,  0.77%,  1.16%,  0.58%, 85.55%,  1.93%,  2.89%,  1.93%, 21344.55, 1562.08, 5546.03, 21640.02 , 18, 253, 117.61, 76, 150, 131.02, 90, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.64%,0.00%, 24.24%, 12.12%, 0.00%, 0.00%, 0.00%, 0.00%, 3.57%, 46.43%,0.00%, 25.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 7.0, 56.0, 19.0, 42.0, 2.0, 381.0, 2.507, 14
63, b-SLICE,   62, 34.00,       1608, 0,5.14,40.902, 49.211, 49.377, 43.000, 0.950354, 13.041,31, 61 58 55 ,63 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.20%, 0.00%,  0.00%,  0.60%,  1.59%,  1.59%,  0.00%,  0.40%,  0.00%,  0.00%, 88.10%,  2.38%,  2.98%,  2.18%, 21657.10, 1567.10, 5678.28, 21919.60 , 18, 253, 117.63, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.35%,0.00%, 17.65%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.22%,0.00%, 26.09%, 8.70%, 0.00%, 0.00%, 0.00%, 0.00%, 5.00%, 55.00%,0.00%, 25.00%, 15.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 56.0, 16.0, 41.0, 1.0, 345.0, 2.942, 9
64, P-SLICE,   64, 32.00,        824, 0,39.51,40.921, 49.228, 49.390, 43.018, 0.950288, 13.035,30, 63 61 58 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.21%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 94.48%,  2.76%,  2.55%,  0.00%, 21557.79, 1564.39, 5681.31, 21562.67 , 18, 253, 117.61, 75, 150, 130.99, 90, 179, 129.22, 0.00%, 99.77%,0.00%, 0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 22.0, 0.0, 24.0, 0.0, 30.0, 0.0, 341.0, 7.629, 75
65, P-SLICE,   69, 32.00,       6552, 0,5.15,40.899, 49.225, 49.386, 43.000, 0.950107, 13.020,26, 64 63 61 , -, 0.00%,  0.00%,  0.00%, 0.31%,  0.00%,  0.00%, 0.31%,  0.00%,  0.47%, 0.31%,  0.00%,  2.20%, 0.00%,  1.10%,  0.31%,  3.77%, 12.74%,  0.00%,  0.00%,  0.00%,  0.31%, 68.08%,  2.67%,  2.20%,  5.19%, 21730.71, 1565.95, 5692.07, 24345.06 , 18, 253, 117.60, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 98.41%,0.00%, 0.00%, 1.59%, 0.00%, 0.00%, 0.00%, 0.00%, 9.52%, 80.95%,0.00%, 0.00%, 9.52%, 0.00%, 0.00%, 0.00%, 0.00%, 11.63%, 32.56%,0.00%, 27.91%, 27.91%, 0.00%, 0.00%, 0.00%, 0.00%, 12.12%, 26.52%,0.00%, 37.12%, 24.24%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 1.0, 21.0, 0.0, 44.0, 0.0, 291.0, 5.218, 26
66, B-SLICE,   67, 33.00,       3048, 0,5.17,40.893, 49.229, 49.378, 42.996, 0.950095, 13.019,29, 64 63 61 ,69 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.54%, 0.00%,  0.18%,  0.54%,  2.70%,  6.31%,  0.00%,  0.00%,  0.00%,  0.00%, 80.00%,  0.90%,  2.70%,  6.13%, 21721.75, 1563.90, 5703.48, 22361.05 , 18, 253, 117.61, 75, 150, 130.99, 90, 179, 129.22, 0.00%, 99.78%,0.00%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 25.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 30.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.17%, 47.22%,0.00%, 36.11%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 26.0, 15.0, 35.0, 2.0, 321.0, 2.189, 2
67, b-SLICE,   65, 34.00,       1808, 0,4.93,40.899, 49.245, 49.377, 43.002, 0.950269, 13.034,32, 64 61 ,67 69 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.19%,  0.38%,  2.08%,  2.84%,  0.00%,  0.00%,  0.00%,  0.00%, 84.28%,  0.76%,  3.22%,  6.25%, 21674.57, 1560.94, 5688.10, 21979.64 , 18, 253, 117.60, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.78%,0.00%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 60.71%,0.00%, 25.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.75%,0.00%, 20.83%, 10.42%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 6.0, 32.0, 16.0, 37.0, 7.0, 375.0, 3.078, 2
